-------------------------------------------------------------------------
Stop Condition       : 20 votes
Max of Voters        : 10 threads
PollStation Capacity : 5 places
-------------------------------------------------------------------------
Probabilities:
   - PARTY A wins              : 70%
   - Voter being chosen        : 50%
   - Voter answers             : 60%
   - Voter lies on survey      : 20%
   - Voter reborn a new ID     : 60%
-------------------------------------------------------------------------
LABEL:
   - IDCheck:
      - ✔ : voter checked for voting
      - ✖ : voter already voted
   - Voting:
      - Voter (A | B)  : refers to the Vote of the voter
   - Survey:
      - Voter L : voter lied on survey
-------------------------------------------------------------------------
| PollStation | Waiting | Inside | IDCheck | Voting | ExitPoll | Survey |
-------------------------------------------------------------------------
| CLOSED      |         |        |         |        |          |        |
|             |   V1    |        |         |        |          |        |
|             |   V2    |        |         |        |          |        |
|             |   V3    |        |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |   V5    |        |         |        |          |        |
|             |   V6    |        |         |        |          |        |
|             |   V7    |        |         |        |          |        |
|             |   V8    |        |         |        |          |        |
|             |   V9    |        |         |        |          |        |
|             |   V10   |        |         |        |          |        |
| OPEN        |         |        |         |        |          |        |
|             |         |  V10   |         |        |          |        |
|             |         |  V2    |         |        |          |        |
|             |         |  V7    |         |        |          |        |
|             |         |  V8    |         |        |          |        |
|             |         |  V6    |         |        |          |        |
|             |         |        |  V6  ✔  |        |          |        |
|             |         |        |  V2  ✔  |        |          |        |
|             |         |        |  V10 ✔  |        |          |        |
|             |         |        |  V8  ✔  |        |          |        |
|             |         |        |  V7  ✔  |        |          |        |
|             |         |        |         |  V6  A |          |        |
|             |         |        |         |        |   V6     |        |
|             |         |  V1    |         |        |          |        |
|             |         |        |         |        |          |  V6    |
|             |         |        |         |  V7  A |          |        |
|             |         |        |         |        |   V7     |        |
|             |         |  V9    |         |        |          |        |
|             |   V177  |        |         |        |          |        |
|             |         |        |         |  V2  B |          |        |
|             |         |        |         |        |   V2     |        |
|             |         |  V5    |         |        |          |        |
|             |         |        |         |        |          |  V2  L |
|             |         |        |  V1  ✔  |        |          |        |
|             |   V6    |        |         |        |          |        |
|             |         |        |         |  V10 B |          |        |
|             |         |        |         |        |   V10    |        |
|             |         |  V177  |         |        |          |        |
|             |         |        |         |        |          |  V10 L |
|             |         |        |  V9  ✔  |        |          |        |
|             |         |        |         |  V8  A |          |        |
|             |         |        |         |        |   V8     |        |
|             |         |  V4    |         |        |          |        |
|             |   V8    |        |         |        |          |        |
|             |   V18   |        |         |        |          |        |
|             |   V2    |        |         |        |          |        |
|             |         |        |  V5  ✔  |        |          |        |
|             |         |        |  V177✔  |        |          |        |
|             |         |        |         |  V9  B |          |        |
|             |         |        |         |        |   V9     |        |
|             |         |  V2    |         |        |          |        |
|             |   V61   |        |         |        |          |        |
|             |         |        |         |  V1  A |          |        |
|             |         |        |         |        |   V1     |        |
|             |         |  V18   |         |        |          |        |
|             |   V1    |        |         |        |          |        |
|             |         |        |  V4  ✔  |        |          |        |
|             |         |        |         |  V5  B |          |        |
|             |         |        |         |        |   V5     |        |
|             |         |  V1    |         |        |          |        |
|             |   V20   |        |         |        |          |        |
|             |         |        |         |  V4  A |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V3    |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |  V2  ✖  |        |          |        |
|             |         |        |         |        |   V2     |        |
|             |         |  V61   |         |        |          |        |
|             |         |        |         |        |          |  V2    |
|             |         |        |  V18 ✔  |        |          |        |
|             |         |        |         |  V177A |          |        |
|             |         |        |         |        |   V177   |        |
|             |         |  V20   |         |        |          |        |
|             |         |        |         |        |          |  V177  |
|             |         |        |  V1  ✖  |        |          |        |
|             |         |        |         |        |   V1     |        |
|             |         |  V4    |         |        |          |        |
|             |         |        |         |        |          |  V1  L |
|             |         |        |  V20 ✔  |        |          |        |
|             |         |        |  V61 ✔  |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V8    |         |        |          |        |
|             |         |        |  V3  ✔  |        |          |        |
|             |         |        |         |  V20 A |          |        |
|             |         |  V6    |         |        |          |        |
|             |         |        |         |        |   V20    |        |
|             |   V6    |        |         |        |          |        |
|             |   V20   |        |         |        |          |        |
|             |   V30   |        |         |        |          |        |
|             |         |        |         |  V18 A |          |        |
|             |         |        |         |        |   V18    |        |
|             |         |  V30   |         |        |          |        |
|             |         |        |         |        |          |  V18   |
|             |   V10   |        |         |        |          |        |
|             |         |        |  V8  ✖  |        |          |        |
|             |         |        |         |        |   V8     |        |
|             |         |  V10   |         |        |          |        |
|             |   V8    |        |         |        |          |        |
|             |   V156  |        |         |        |          |        |
|             |         |        |  V30 ✔  |        |          |        |
|             |         |        |  V6  ✖  |        |          |        |
|             |         |        |         |        |   V6     |        |
|             |         |  V6    |         |        |          |        |
|             |   V44   |        |         |        |          |        |
|             |   V18   |        |         |        |          |        |
|             |         |        |         |  V61 A |          |        |
|             |         |        |         |        |   V61    |        |
|             |         |  V20   |         |        |          |        |
|             |         |        |         |        |          |  V61   |
|             |         |        |         |  V3  A |          |        |
|             |         |        |         |        |   V3     |        |
|             |         |  V18   |         |        |          |        |
|             |   V97   |        |         |        |          |        |
|             |         |        |  V10 ✖  |        |          |        |
|             |         |  V8    |         |        |          |        |
|             |         |        |         |        |   V10    |        |
|             |         |        |         |        |          |  V10   |
|             |         |        |  V6  ✖  |        |          |        |
|             |         |        |         |        |   V6     |        |
|             |         |  V97   |         |        |          |        |
|             |   V174  |        |         |        |          |        |
|             |         |        |         |  V30 A |          |        |
|             |         |        |         |        |   V30    |        |
|             |         |  V156  |         |        |          |        |
|             |   V30   |        |         |        |          |        |
