-------------------------------------------------------------------------
Stop Condition       : 30 votes
Max of Voters        : 10 threads
PollStation Capacity : 5 places
-------------------------------------------------------------------------
Probabilities:
   - PARTY A wins              : 70%
   - Voter being chosen        : 50%
   - Voter answers             : 60%
   - Voter lies on survey      : 20%
   - Voter reborn a new ID     : 60%
-------------------------------------------------------------------------
LABEL:
   - IDCheck:
      - ✔ : voter checked for voting
      - ✖ : voter already voted
   - Voting:
      - Voter (A | B)  : refers to the Vote of the voter
   - Survey:
      - Voter L : voter lied on survey
-------------------------------------------------------------------------
| PollStation | Waiting | Inside | IDCheck | Voting | ExitPoll | Survey |
-------------------------------------------------------------------------
| CLOSED      |         |        |         |        |          |        |
|             |   V1    |        |         |        |          |        |
|             |   V2    |        |         |        |          |        |
|             |   V3    |        |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |   V5    |        |         |        |          |        |
|             |   V6    |        |         |        |          |        |
|             |   V7    |        |         |        |          |        |
|             |   V8    |        |         |        |          |        |
|             |   V9    |        |         |        |          |        |
|             |   V10   |        |         |        |          |        |
| OPEN        |         |        |         |        |          |        |
|             |         |  V1    |         |        |          |        |
|             |         |  V2    |         |        |          |        |
|             |         |  V4    |         |        |          |        |
|             |         |  V7    |         |        |          |        |
|             |         |  V6    |         |        |          |        |
|             |         |        |  V6  ✔  |        |          |        |
|             |         |        |  V4  ✔  |        |          |        |
|             |         |        |  V1  ✔  |        |          |        |
|             |         |        |  V7  ✔  |        |          |        |
|             |         |        |  V2  ✔  |        |          |        |
|             |         |        |         |  V7  A |          |        |
|             |         |        |         |        |   V7     |        |
|             |         |  V8    |         |        |          |        |
|             |   V7    |        |         |        |          |        |
|             |         |        |         |  V2  B |          |        |
|             |         |        |         |        |   V2     |        |
|             |         |  V10   |         |        |          |        |
|             |   V2    |        |         |        |          |        |
|             |         |        |         |  V6  A |          |        |
|             |         |        |         |        |   V6     |        |
|             |         |  V7    |         |        |          |        |
|             |   V86   |        |         |        |          |        |
|             |         |        |         |  V4  A |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V9    |         |        |          |        |
|             |         |        |         |        |          |  V4  L |
|             |         |        |         |  V1  A |          |        |
|             |         |        |         |        |   V1     |        |
|             |         |  V86   |         |        |          |        |
|             |   V183  |        |         |        |          |        |
|             |         |        |  V8  ✔  |        |          |        |
|             |         |        |  V7  ✖  |        |          |        |
|             |         |        |         |        |   V7     |        |
|             |         |  V3    |         |        |          |        |
|             |   V169  |        |         |        |          |        |
|             |         |        |  V10 ✔  |        |          |        |
|             |         |        |  V86 ✔  |        |          |        |
|             |         |        |         |  V8  A |          |        |
|             |         |        |         |        |   V8     |        |
|             |         |  V169  |         |        |          |        |
|             |   V8    |        |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |  V9  ✔  |        |          |        |
|             |         |        |         |  V10 A |          |        |
|             |         |        |         |        |   V10    |        |
|             |         |  V183  |         |        |          |        |
|             |   V157  |        |         |        |          |        |
|             |         |        |         |  V86 A |          |        |
|             |         |        |         |        |   V86    |        |
|             |         |  V8    |         |        |          |        |
|             |   V86   |        |         |        |          |        |
|             |         |        |  V3  ✔  |        |          |        |
|             |         |        |  V169✔  |        |          |        |
|             |         |        |  V8  ✖  |        |          |        |
|             |         |        |         |        |   V8     |        |
|             |         |  V157  |         |        |          |        |
|             |         |        |         |        |          |  V8    |
|             |         |        |         |  V3  B |          |        |
|             |         |        |         |        |   V3     |        |
|             |         |  V5    |         |        |          |        |
|             |   V3    |        |         |        |          |        |
|             |         |        |         |  V9  A |          |        |
|             |         |        |         |        |   V9     |        |
|             |         |  V4    |         |        |          |        |
|             |   V9    |        |         |        |          |        |
|             |         |        |         |  V169A |          |        |
|             |         |        |         |        |   V169   |        |
|             |         |  V9    |         |        |          |        |
|             |   V169  |        |         |        |          |        |
|             |         |        |  V183✔  |        |          |        |
|             |         |        |  V5  ✔  |        |          |        |
|             |         |        |  V157✔  |        |          |        |
|             |   V8    |        |         |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |  V2    |         |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |  V9  ✖  |        |          |        |
|             |         |        |         |        |   V9     |        |
|             |         |  V169  |         |        |          |        |
|             |   V9    |        |         |        |          |        |
|             |         |        |         |  V183A |          |        |
|             |         |        |         |        |   V183   |        |
|             |         |  V9    |         |        |          |        |
|             |   V183  |        |         |        |          |        |
|             |         |        |         |  V5  B |          |        |
|             |         |        |         |        |   V5     |        |
|             |         |  V183  |         |        |          |        |
|             |         |        |         |        |          |  V5    |
|             |         |        |  V169✖  |        |          |        |
|             |         |        |         |        |   V169   |        |
|             |         |  V86   |         |        |          |        |
|             |         |        |         |        |          |  V169  |
|             |         |        |         |  V157B |          |        |
|             |         |  V4    |         |        |          |        |
|             |         |        |         |        |   V157   |        |
|             |   V157  |        |         |        |          |        |
|             |         |        |  V9  ✖  |        |          |        |
|             |         |        |         |        |   V9     |        |
|             |         |  V157  |         |        |          |        |
|             |   V9    |        |         |        |          |        |
|             |         |        |  V2  ✖  |        |          |        |
|             |         |        |         |        |   V2     |        |
|             |         |  V9    |         |        |          |        |
|             |   V2    |        |         |        |          |        |
|             |         |        |  V86 ✖  |        |          |        |
|             |         |        |         |        |   V86    |        |
|             |   V26   |        |         |        |          |        |
|             |         |  V26   |         |        |          |        |
|             |         |        |         |        |          |  V86 L |
|             |   V5    |        |         |        |          |        |
|             |         |        |  V157✖  |        |          |        |
|             |         |        |         |        |   V157   |        |
|             |         |  V5    |         |        |          |        |
|             |   V157  |        |         |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
